LTE/5g Category,Time,Packet Loss Rate,Packet delay,IoT,LTE/5G,GBR,Non-GBR,AR/VR/Gaming,Healthcare,Industry 4.0,IoT Devices,Public Safety,Smart City & Home,Smart Transportation,Smartphone,slice Type
16,23,1.00E-06,10,1,0,0,1,0,1,0,0,0,0,0,0,3
1,3,1.00E-06,10,1,0,0,1,0,0,1,0,0,0,0,0,3
4,3,1.00E-06,300,0,1,0,1,0,0,0,0,0,0,0,1,1
4,19,0.001,100,0,1,1,0,0,0,0,0,0,0,0,1,1
1,13,1.00E-06,10,1,0,0,1,0,1,0,0,0,0,0,0,3
3,12,1.00E-06,10,1,0,0,1,0,1,0,0,0,0,0,0,3
18,16,1.00E-06,10,1,0,0,1,0,0,0,0,1,0,0,0,3
20,5,1.00E-06,60,0,1,1,0,0,0,0,0,0,0,0,1,1
8,0,0.001,50,1,0,1,0,0,0,1,0,0,0,0,0,2
21,11,1.00E-06,10,1,0,0,1,0,0,0,0,0,0,1,0,3
20,23,0.01,300,1,0,1,0,0,0,0,0,0,1,0,0,2
12,5,0.001,100,0,1,1,0,0,0,0,0,0,0,0,1,1
20,9,0.001,150,0,1,0,1,0,0,0,0,0,0,0,1,1
3,8,0.001,100,0,1,1,0,0,0,0,0,0,0,0,1,1
6,13,0.01,50,1,0,0,1,0,0,0,0,0,1,0,0,2
14,4,0.01,100,0,1,0,1,0,0,0,0,0,0,0,1,1
9,3,0.01,100,0,1,0,1,0,0,0,0,0,0,0,1,1
2,20,0.001,50,1,0,1,0,0,0,1,0,0,0,0,0,2
11,7,0.01,100,0,1,0,1,0,0,0,0,0,0,0,1,1
15,23,1.00E-06,10,1,0,0,1,0,0,0,0,1,0,0,0,3
19,15,0.01,100,0,1,0,1,0,0,0,0,0,0,0,1,1
7,9,0.01,75,0,1,0,1,0,0,0,0,0,0,0,1,1
11,6,1.00E-06,10,1,0,0,1,0,1,0,0,0,0,0,0,3
19,20,0.01,100,0,1,0,1,0,0,0,0,0,0,0,1,1
18,20,0.001,50,1,0,1,0,0,0,1,0,0,0,0,0,2
11,15,0.01,75,0,1,0,1,0,0,0,0,0,0,0,1,1
18,10,0.01,300,1,0,1,0,0,0,0,1,0,0,0,0,2
3,21,1.00E-06,10,1,0,0,1,0,0,1,0,0,0,0,0,3
10,14,0.01,300,1,0,1,0,0,0,0,0,0,1,0,0,2
15,7,0.01,100,0,1,0,1,0,0,0,0,0,0,0,1,1
6,12,1.00E-06,300,0,1,0,1,0,0,0,0,0,0,0,1,1
1,19,1.00E-06,100,0,1,1,0,0,0,0,0,0,0,0,1,1
20,6,1.00E-06,60,0,1,1,0,0,0,0,0,0,0,0,1,1
20,4,0.01,100,0,1,0,1,0,0,0,0,0,0,0,1,1
19,21,0.01,75,0,1,0,1,0,0,0,0,0,0,0,1,1
11,21,0.001,50,1,0,1,0,0,0,1,0,0,0,0,0,2
6,8,0.01,50,1,0,0,1,0,0,0,0,0,1,0,0,2
8,13,0.01,300,1,0,1,0,0,0,0,1,0,0,0,0,2
14,10,1.00E-06,10,1,0,0,1,0,0,0,0,1,0,0,0,3
4,2,0.001,50,0,1,0,1,1,0,0,0,0,0,0,0,1
20,22,0.01,75,0,1,0,1,0,0,0,0,0,0,0,1,1
10,10,0.01,100,0,1,0,1,0,0,0,0,0,0,0,1,1
5,6,1.00E-06,10,1,0,0,1,0,0,1,0,0,0,0,0,3
16,14,0.001,100,0,1,1,0,1,0,0,0,0,0,0,0,1
7,4,0.001,100,0,1,1,0,0,0,0,0,0,0,0,1,1
2,16,1.00E-06,10,1,0,0,1,0,0,0,0,1,0,0,0,3
20,10,1.00E-06,10,1,0,0,1,0,1,0,0,0,0,0,0,3
15,5,1.00E-06,10,1,0,0,1,0,0,1,0,0,0,0,0,3
7,8,0.01,75,0,1,0,1,0,0,0,0,0,0,0,1,1
21,3,1.00E-06,10,1,0,0,1,0,0,0,0,0,0,1,0,3
11,7,1.00E-06,300,0,1,1,0,0,0,0,0,0,0,0,1,1
20,16,0.01,75,0,1,0,1,0,0,0,0,0,0,0,1,1
11,2,1.00E-06,10,1,0,0,1,0,0,0,0,1,0,0,0,3
2,17,1.00E-06,300,0,1,0,1,0,0,0,0,0,0,0,1,1
12,1,0.01,75,0,1,0,1,0,0,0,0,0,0,0,1,1
3,5,0.001,50,0,1,0,1,1,0,0,0,0,0,0,0,1
1,12,1.00E-06,300,0,1,0,1,0,0,0,0,0,0,0,1,1
13,13,0.01,50,1,0,0,1,0,0,0,0,0,1,0,0,2
14,17,1.00E-06,10,1,0,0,1,0,0,1,0,0,0,0,0,3
8,11,0.001,100,0,1,1,0,1,0,0,0,0,0,0,0,1
10,16,1.00E-06,10,1,0,0,1,0,0,0,0,0,0,1,0,3
6,12,1.00E-06,10,1,0,0,1,0,1,0,0,0,0,0,0,3
19,5,0.001,100,0,1,1,0,1,0,0,0,0,0,0,0,1
15,11,0.001,50,1,0,1,0,0,0,1,0,0,0,0,0,2
14,8,0.001,100,0,1,1,0,0,0,0,0,0,0,0,1,1
11,13,0.001,100,0,1,1,0,0,0,0,0,0,0,0,1,1
19,11,1.00E-06,10,1,0,0,1,0,0,0,0,1,0,0,0,3
15,21,0.001,100,0,1,1,0,0,0,0,0,0,0,0,1,1
2,1,1.00E-06,10,1,0,0,1,0,0,1,0,0,0,0,0,3
9,4,0.001,50,0,1,0,1,1,0,0,0,0,0,0,0,1
14,20,0.01,300,1,0,1,0,0,0,0,1,0,0,0,0,2
11,12,0.01,100,0,1,0,1,0,0,0,0,0,0,0,1,1
12,1,1.00E-06,60,0,1,1,0,0,0,0,0,0,0,0,1,1
14,21,0.01,100,0,1,0,1,0,0,0,0,0,0,0,1,1
14,10,0.01,300,1,0,1,0,0,0,0,0,0,1,0,0,2
6,10,1.00E-06,300,0,1,0,1,0,0,0,0,0,0,0,1,1
4,23,1.00E-06,100,0,1,1,0,0,0,0,0,0,0,0,1,1
17,2,0.001,50,1,0,1,0,0,0,1,0,0,0,0,0,2
7,13,0.001,150,0,1,0,1,0,0,0,0,0,0,0,1,1
18,19,0.001,50,1,0,1,0,0,0,1,0,0,0,0,0,2
10,10,0.01,50,1,0,0,1,0,0,0,0,0,1,0,0,2
10,18,0.001,100,0,1,1,0,0,0,0,0,0,0,0,1,1
8,4,0.01,300,1,0,1,0,0,0,0,1,0,0,0,0,2
8,8,0.001,100,0,1,1,0,1,0,0,0,0,0,0,0,1
15,5,1.00E-06,300,0,1,1,0,0,0,0,0,0,0,0,1,1
4,2,0.001,50,1,0,1,0,0,0,1,0,0,0,0,0,2
6,5,0.01,100,0,1,0,1,0,0,0,0,0,0,0,1,1
8,0,0.001,150,0,1,0,1,0,0,0,0,0,0,0,1,1
18,1,0.01,100,0,1,0,1,0,0,0,0,0,0,0,1,1
11,13,0.01,75,0,1,0,1,0,0,0,0,0,0,0,1,1
14,5,1.00E-06,100,0,1,1,0,0,0,0,0,0,0,0,1,1
3,3,1.00E-06,10,1,0,0,1,0,0,1,0,0,0,0,0,3
8,21,0.01,300,1,0,1,0,0,0,0,0,0,1,0,0,2
17,19,0.01,300,1,0,1,0,0,0,0,1,0,0,0,0,2
8,17,0.01,50,1,0,0,1,0,0,0,0,0,1,0,0,2
17,5,0.01,300,1,0,1,0,0,0,0,0,0,1,0,0,2
11,12,1.00E-06,10,1,0,0,1,0,0,1,0,0,0,0,0,3
4,20,1.00E-06,10,1,0,0,1,0,0,0,0,0,0,1,0,3
13,3,1.00E-06,10,1,0,0,1,0,0,0,0,1,0,0,0,3
1,3,0.001,50,1,0,1,0,0,0,1,0,0,0,0,0,2
16,9,0.001,50,1,0,1,0,0,0,1,0,0,0,0,0,2
15,9,0.001,50,1,0,1,0,0,0,1,0,0,0,0,0,2
10,11,1.00E-06,100,0,1,1,0,0,0,0,0,0,0,0,1,1
8,1,1.00E-06,100,0,1,1,0,0,0,0,0,0,0,0,1,1
14,13,0.01,50,1,0,0,1,0,0,0,0,0,1,0,0,2
17,22,0.001,50,0,1,0,1,1,0,0,0,0,0,0,0,1
2,16,1.00E-06,60,0,1,1,0,0,0,0,0,0,0,0,1,1
12,11,1.00E-06,300,0,1,1,0,0,0,0,0,0,0,0,1,1
21,5,0.01,300,1,0,1,0,0,0,0,0,0,1,0,0,2
16,17,1.00E-06,10,1,0,0,1,0,0,0,0,1,0,0,0,3
9,11,0.01,75,0,1,0,1,0,0,0,0,0,0,0,1,1
17,10,0.01,100,0,1,0,1,0,0,0,0,0,0,0,1,1
17,21,0.01,50,1,0,0,1,0,0,0,0,0,1,0,0,2
6,21,0.001,100,0,1,1,0,0,0,0,0,0,0,0,1,1
2,12,0.001,100,0,1,1,0,1,0,0,0,0,0,0,0,1
22,20,1.00E-06,10,1,0,0,1,0,1,0,0,0,0,0,0,3
4,2,0.01,50,1,0,0,1,0,0,0,0,0,1,0,0,2
11,11,0.01,300,1,0,1,0,0,0,0,0,0,1,0,0,2
7,4,0.001,100,0,1,1,0,1,0,0,0,0,0,0,0,1
7,6,1.00E-06,10,1,0,0,1,0,0,0,0,0,0,1,0,3
15,12,0.001,50,1,0,1,0,0,0,1,0,0,0,0,0,2
11,1,0.01,300,1,0,1,0,0,0,0,0,0,1,0,0,2
3,4,1.00E-06,10,1,0,0,1,0,0,1,0,0,0,0,0,3
20,23,0.01,100,0,1,0,1,0,0,0,0,0,0,0,1,1
19,23,0.001,100,0,1,1,0,1,0,0,0,0,0,0,0,1
8,15,0.001,100,0,1,1,0,1,0,0,0,0,0,0,0,1
8,15,0.001,100,0,1,1,0,0,0,0,0,0,0,0,1,1
3,7,0.001,100,0,1,1,0,1,0,0,0,0,0,0,0,1
14,18,0.001,150,0,1,0,1,0,0,0,0,0,0,0,1,1
16,17,0.001,100,0,1,1,0,0,0,0,0,0,0,0,1,1
19,14,0.01,50,1,0,0,1,0,0,0,0,0,1,0,0,2
3,20,1.00E-06,300,0,1,0,1,0,0,0,0,0,0,0,1,1
10,16,0.001,50,0,1,0,1,1,0,0,0,0,0,0,0,1
13,17,0.001,150,0,1,0,1,0,0,0,0,0,0,0,1,1
3,16,0.01,300,1,0,1,0,0,0,0,1,0,0,0,0,2
13,1,0.01,300,1,0,1,0,0,0,0,0,0,1,0,0,2
10,7,0.001,100,0,1,1,0,1,0,0,0,0,0,0,0,1
15,22,1.00E-06,10,1,0,0,1,0,0,0,0,1,0,0,0,3
13,1,0.01,50,1,0,0,1,0,0,0,0,0,1,0,0,2
12,9,1.00E-06,10,1,0,0,1,0,1,0,0,0,0,0,0,3
13,9,1.00E-06,10,1,0,0,1,0,0,0,0,1,0,0,0,3
5,6,1.00E-06,300,0,1,1,0,0,0,0,0,0,0,0,1,1
1,21,1.00E-06,60,0,1,1,0,0,0,0,0,0,0,0,1,1
8,0,0.01,300,1,0,1,0,0,0,0,1,0,0,0,0,2
8,15,0.01,100,0,1,0,1,0,0,0,0,0,0,0,1,1
15,11,1.00E-06,10,1,0,0,1,0,0,0,0,1,0,0,0,3
17,15,0.01,100,0,1,0,1,0,0,0,0,0,0,0,1,1
19,19,1.00E-06,60,0,1,1,0,0,0,0,0,0,0,0,1,1
16,10,1.00E-06,10,1,0,0,1,0,0,1,0,0,0,0,0,3
2,21,0.001,50,1,0,1,0,0,0,1,0,0,0,0,0,2
11,22,1.00E-06,300,0,1,1,0,0,0,0,0,0,0,0,1,1
19,17,1.00E-06,300,0,1,1,0,0,0,0,0,0,0,0,1,1
21,1,1.00E-06,10,1,0,0,1,0,1,0,0,0,0,0,0,3
8,9,1.00E-06,10,1,0,0,1,0,0,0,0,0,0,1,0,3
19,5,1.00E-06,10,1,0,0,1,0,1,0,0,0,0,0,0,3
21,0,1.00E-06,10,1,0,0,1,0,0,0,0,0,0,1,0,3
3,3,0.001,150,0,1,0,1,0,0,0,0,0,0,0,1,1
10,9,1.00E-06,60,0,1,1,0,0,0,0,0,0,0,0,1,1
2,13,0.01,100,0,1,0,1,0,0,0,0,0,0,0,1,1
1,12,0.001,100,0,1,1,0,0,0,0,0,0,0,0,1,1
17,8,1.00E-06,10,1,0,0,1,0,1,0,0,0,0,0,0,3
14,22,1.00E-06,300,0,1,0,1,0,0,0,0,0,0,0,1,1
18,20,1.00E-06,300,0,1,1,0,0,0,0,0,0,0,0,1,1
12,22,1.00E-06,100,0,1,1,0,0,0,0,0,0,0,0,1,1
5,13,0.01,75,0,1,0,1,0,0,0,0,0,0,0,1,1
4,0,1.00E-06,10,1,0,0,1,0,0,0,0,1,0,0,0,3
22,7,1.00E-06,10,1,0,0,1,0,0,1,0,0,0,0,0,3
15,8,1.00E-06,10,1,0,0,1,0,0,0,0,1,0,0,0,3
11,11,1.00E-06,10,1,0,0,1,0,0,0,0,1,0,0,0,3
22,6,0.01,300,1,0,1,0,0,0,0,1,0,0,0,0,2
6,20,0.01,75,0,1,0,1,0,0,0,0,0,0,0,1,1
11,15,0.001,50,0,1,0,1,1,0,0,0,0,0,0,0,1
22,12,1.00E-06,10,1,0,0,1,0,0,0,0,0,0,1,0,3
19,15,1.00E-06,60,0,1,1,0,0,0,0,0,0,0,0,1,1
9,9,0.01,50,1,0,0,1,0,0,0,0,0,1,0,0,2
16,19,0.01,75,0,1,0,1,0,0,0,0,0,0,0,1,1
13,19,1.00E-06,10,1,0,0,1,0,1,0,0,0,0,0,0,3
22,15,0.01,300,1,0,1,0,0,0,0,0,0,1,0,0,2
16,14,0.01,50,1,0,0,1,0,0,0,0,0,1,0,0,2
11,21,0.01,75,0,1,0,1,0,0,0,0,0,0,0,1,1
18,15,1.00E-06,10,1,0,0,1,0,0,0,0,0,0,1,0,3
8,18,0.01,300,1,0,1,0,0,0,0,1,0,0,0,0,2
9,19,0.001,50,0,1,0,1,1,0,0,0,0,0,0,0,1
3,20,0.01,300,1,0,1,0,0,0,0,1,0,0,0,0,2
3,23,0.001,100,0,1,1,0,0,0,0,0,0,0,0,1,1
8,7,0.001,100,0,1,1,0,0,0,0,0,0,0,0,1,1
19,1,1.00E-06,300,0,1,0,1,0,0,0,0,0,0,0,1,1
10,13,0.001,150,0,1,0,1,0,0,0,0,0,0,0,1,1
21,6,0.01,50,1,0,0,1,0,0,0,0,0,1,0,0,2
8,4,0.01,50,1,0,0,1,0,0,0,0,0,1,0,0,2
9,21,1.00E-06,10,1,0,0,1,0,0,0,0,1,0,0,0,3
3,14,0.001,100,0,1,1,0,0,0,0,0,0,0,0,1,1
2,20,0.01,75,0,1,0,1,0,0,0,0,0,0,0,1,1
14,6,0.001,150,0,1,0,1,0,0,0,0,0,0,0,1,1
20,8,0.01,300,1,0,1,0,0,0,0,0,0,1,0,0,2
20,11,1.00E-06,10,1,0,0,1,0,0,0,0,1,0,0,0,3
7,15,1.00E-06,10,1,0,0,1,0,0,0,0,0,0,1,0,3
14,15,0.001,100,0,1,1,0,0,0,0,0,0,0,0,1,1
14,19,1.00E-06,10,1,0,0,1,0,0,0,0,1,0,0,0,3
18,20,0.001,50,1,0,1,0,0,0,1,0,0,0,0,0,2
1,23,1.00E-06,300,0,1,0,1,0,0,0,0,0,0,0,1,1
4,2,1.00E-06,300,0,1,0,1,0,0,0,0,0,0,0,1,1
20,19,1.00E-06,300,0,1,1,0,0,0,0,0,0,0,0,1,1
16,0,0.01,50,1,0,0,1,0,0,0,0,0,1,0,0,2
20,17,1.00E-06,300,0,1,0,1,0,0,0,0,0,0,0,1,1
8,6,1.00E-06,10,1,0,0,1,0,0,1,0,0,0,0,0,3
16,13,1.00E-06,60,0,1,1,0,0,0,0,0,0,0,0,1,1
20,17,0.01,300,1,0,1,0,0,0,0,0,0,1,0,0,2
4,4,1.00E-06,10,1,0,0,1,0,0,0,0,0,0,1,0,3
15,22,0.01,300,1,0,1,0,0,0,0,0,0,1,0,0,2
13,1,1.00E-06,10,1,0,0,1,0,0,1,0,0,0,0,0,3
15,9,0.001,50,0,1,0,1,1,0,0,0,0,0,0,0,1
16,12,1.00E-06,10,1,0,0,1,0,1,0,0,0,0,0,0,3
11,19,0.01,100,0,1,0,1,0,0,0,0,0,0,0,1,1
14,23,0.001,50,1,0,1,0,0,0,1,0,0,0,0,0,2
14,15,0.001,100,0,1,1,0,0,0,0,0,0,0,0,1,1
13,8,1.00E-06,300,0,1,1,0,0,0,0,0,0,0,0,1,1
16,12,1.00E-06,10,1,0,0,1,0,0,0,0,1,0,0,0,3
17,16,1.00E-06,100,0,1,1,0,0,0,0,0,0,0,0,1,1
19,2,0.01,300,1,0,1,0,0,0,0,1,0,0,0,0,2
3,14,0.001,100,0,1,1,0,1,0,0,0,0,0,0,0,1
10,3,1.00E-06,100,0,1,1,0,0,0,0,0,0,0,0,1,1
20,9,1.00E-06,300,0,1,1,0,0,0,0,0,0,0,0,1,1
22,12,1.00E-06,10,1,0,0,1,0,0,1,0,0,0,0,0,3
10,8,1.00E-06,300,0,1,1,0,0,0,0,0,0,0,0,1,1
8,2,0.001,50,0,1,0,1,1,0,0,0,0,0,0,0,1
17,22,0.001,100,0,1,1,0,0,0,0,0,0,0,0,1,1
21,8,1.00E-06,10,1,0,0,1,0,1,0,0,0,0,0,0,3
9,14,0.01,50,1,0,0,1,0,0,0,0,0,1,0,0,2
7,1,1.00E-06,60,0,1,1,0,0,0,0,0,0,0,0,1,1
8,3,0.001,50,0,1,0,1,1,0,0,0,0,0,0,0,1
1,3,0.01,75,0,1,0,1,0,0,0,0,0,0,0,1,1
12,18,0.01,300,1,0,1,0,0,0,0,0,0,1,0,0,2
6,7,0.001,100,0,1,1,0,1,0,0,0,0,0,0,0,1
8,23,0.001,50,1,0,1,0,0,0,1,0,0,0,0,0,2
11,0,1.00E-06,100,0,1,1,0,0,0,0,0,0,0,0,1,1
1,23,0.01,100,0,1,0,1,0,0,0,0,0,0,0,1,1
14,9,0.001,100,0,1,1,0,0,0,0,0,0,0,0,1,1
11,2,1.00E-06,300,0,1,0,1,0,0,0,0,0,0,0,1,1
9,9,0.001,100,0,1,1,0,1,0,0,0,0,0,0,0,1
15,18,0.001,50,1,0,1,0,0,0,1,0,0,0,0,0,2
15,4,0.001,50,1,0,1,0,0,0,1,0,0,0,0,0,2
20,16,1.00E-06,10,1,0,0,1,0,0,1,0,0,0,0,0,3
1,4,0.01,50,1,0,0,1,0,0,0,0,0,1,0,0,2
19,15,0.01,100,0,1,0,1,0,0,0,0,0,0,0,1,1
19,12,0.01,100,0,1,0,1,0,0,0,0,0,0,0,1,1
9,12,0.001,100,0,1,1,0,1,0,0,0,0,0,0,0,1
14,13,0.001,100,0,1,1,0,1,0,0,0,0,0,0,0,1
6,22,0.001,100,0,1,1,0,1,0,0,0,0,0,0,0,1
16,12,1.00E-06,300,0,1,1,0,0,0,0,0,0,0,0,1,1
6,11,0.001,50,1,0,1,0,0,0,1,0,0,0,0,0,2
17,8,1.00E-06,10,1,0,0,1,0,0,1,0,0,0,0,0,3
13,2,1.00E-06,10,1,0,0,1,0,0,1,0,0,0,0,0,3
5,11,0.01,50,1,0,0,1,0,0,0,0,0,1,0,0,2
19,19,1.00E-06,10,1,0,0,1,0,1,0,0,0,0,0,0,3
21,6,0.01,300,1,0,1,0,0,0,0,0,0,1,0,0,2
4,23,0.001,50,1,0,1,0,0,0,1,0,0,0,0,0,2
7,16,0.01,50,1,0,0,1,0,0,0,0,0,1,0,0,2
3,5,0.01,300,1,0,1,0,0,0,0,0,0,1,0,0,2
4,7,0.01,300,1,0,1,0,0,0,0,0,0,1,0,0,2
9,4,0.01,300,1,0,1,0,0,0,0,1,0,0,0,0,2
5,6,1.00E-06,10,1,0,0,1,0,0,0,0,0,0,1,0,3
9,12,0.01,300,1,0,1,0,0,0,0,0,0,1,0,0,2
3,6,0.001,50,1,0,1,0,0,0,1,0,0,0,0,0,2
20,5,0.001,100,0,1,1,0,0,0,0,0,0,0,0,1,1
13,14,1.00E-06,300,0,1,1,0,0,0,0,0,0,0,0,1,1
22,5,0.01,300,1,0,1,0,0,0,0,0,0,1,0,0,2
16,8,0.001,100,0,1,1,0,1,0,0,0,0,0,0,0,1
7,19,1.00E-06,60,0,1,1,0,0,0,0,0,0,0,0,1,1
9,23,0.01,300,1,0,1,0,0,0,0,1,0,0,0,0,2
8,22,0.001,50,1,0,1,0,0,0,1,0,0,0,0,0,2
11,19,0.001,100,0,1,1,0,0,0,0,0,0,0,0,1,1
8,6,1.00E-06,10,1,0,0,1,0,0,1,0,0,0,0,0,3
19,10,1.00E-06,10,1,0,0,1,0,0,0,0,0,0,1,0,3
11,9,0.001,100,0,1,1,0,0,0,0,0,0,0,0,1,1
12,5,0.01,50,1,0,0,1,0,0,0,0,0,1,0,0,2
16,12,1.00E-06,300,0,1,0,1,0,0,0,0,0,0,0,1,1
14,12,0.01,300,1,0,1,0,0,0,0,1,0,0,0,0,2
11,3,1.00E-06,300,0,1,0,1,0,0,0,0,0,0,0,1,1
